id,name,district,block,lat,lng,capacity_quintals,utilization_pct,operator_phone,registry_source,verified
CS-040,Burdwan Cold Storage #32,Purba Bardhaman,Burdwan,23.1935,87.8159,122052,79,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-041,Burdwan Cold Storage #33,Purba Bardhaman,Burdwan,23.2315,87.8749,121356,85,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-042,Burdwan Cold Storage #34,Purba Bardhaman,Burdwan,23.234,87.8804,122376,69,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-043,Burdwan Cold Storage #35,Purba Bardhaman,Burdwan,23.2756,87.9149,122709,46,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-044,Burdwan Cold Storage #36,Purba Bardhaman,Burdwan,23.2784,87.8376,121731,73,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-045,Burdwan Cold Storage #37,Purba Bardhaman,Burdwan,23.2791,87.8247,122737,79,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-046,Burdwan Cold Storage #38,Purba Bardhaman,Burdwan,23.1769,87.9144,120919,45,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-047,Burdwan Cold Storage #39,Purba Bardhaman,Burdwan,23.2563,87.9084,121554,46,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-048,Burdwan Cold Storage #40,Purba Bardhaman,Burdwan,23.1992,87.842,122098,81,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-049,Burdwan Cold Storage #41,Purba Bardhaman,Burdwan,23.1884,87.9124,122011,67,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-050,Burdwan Cold Storage #42,Purba Bardhaman,Burdwan,23.2676,87.9123,121645,70,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-051,Burdwan Cold Storage #43,Purba Bardhaman,Burdwan,23.1925,87.8494,122044,79,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-052,Burdwan Cold Storage #44,Purba Bardhaman,Burdwan,23.195,87.812,122064,82,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-053,Burdwan Cold Storage #45,Purba Bardhaman,Burdwan,23.259,87.8033,122576,45,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-054,Burdwan Cold Storage #46,Purba Bardhaman,Burdwan,23.2819,87.8045,122759,77,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-055,Burdwan Cold Storage #47,Purba Bardhaman,Burdwan,23.2641,87.893,121617,82,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-056,Burdwan Cold Storage #48,Purba Bardhaman,Burdwan,23.2156,87.8219,121229,73,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-057,Burdwan Cold Storage #49,Purba Bardhaman,Burdwan,23.224,87.9038,121296,71,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-058,Burdwan Cold Storage #50,Purba Bardhaman,Burdwan,23.194,87.8692,121056,72,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-059,Burdwan Cold Storage #51,Purba Bardhaman,Burdwan,23.2348,87.8829,122382,83,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-060,Burdwan Cold Storage #52,Purba Bardhaman,Burdwan,23.291,87.8962,121832,53,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-061,Burdwan Cold Storage #53,Purba Bardhaman,Burdwan,23.2175,87.8694,122244,71,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-062,Burdwan Cold Storage #54,Purba Bardhaman,Burdwan,23.2482,87.7984,122490,88,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-063,Burdwan Cold Storage #55,Purba Bardhaman,Burdwan,23.2643,87.8044,121618,56,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-064,Burdwan Cold Storage #56,Purba Bardhaman,Burdwan,23.1715,87.8337,121876,71,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-065,Burdwan Cold Storage #57,Purba Bardhaman,Burdwan,23.2799,87.8641,122743,85,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-066,Burdwan Cold Storage #58,Purba Bardhaman,Burdwan,23.2868,87.8146,121798,63,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-067,Burdwan Cold Storage #59,Purba Bardhaman,Burdwan,23.1879,87.8295,122007,82,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-068,Burdwan Cold Storage #60,Purba Bardhaman,Burdwan,23.1961,87.8911,122073,77,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-069,Burdwan Cold Storage #61,Purba Bardhaman,Burdwan,23.1693,87.8826,120858,79,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-070,Burdwan Cold Storage #62,Purba Bardhaman,Burdwan,23.2118,87.8588,121198,75,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-071,Burdwan Cold Storage #63,Purba Bardhaman,Burdwan,23.2766,87.9101,121717,81,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-072,Burdwan Cold Storage #64,Purba Bardhaman,Burdwan,23.2119,87.8495,121199,48,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-073,Burdwan Cold Storage #65,Purba Bardhaman,Burdwan,23.2856,87.8312,121789,52,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-074,Burdwan Cold Storage #66,Purba Bardhaman,Burdwan,23.2443,87.8334,121458,83,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-075,Burdwan Cold Storage #67,Purba Bardhaman,Burdwan,23.1986,87.8842,122093,63,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-076,Burdwan Cold Storage #68,Purba Bardhaman,Burdwan,23.2196,87.8881,121261,77,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-077,Burdwan Cold Storage #69,Purba Bardhaman,Burdwan,23.2,87.8197,122104,86,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-078,Burdwan Cold Storage #70,Purba Bardhaman,Burdwan,23.2794,87.8564,121739,87,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-079,Burdwan Cold Storage #71,Purba Bardhaman,Burdwan,23.2638,87.879,122614,53,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-080,Burdwan Cold Storage #72,Purba Bardhaman,Burdwan,23.2043,87.8295,121138,49,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-081,Burdwan Cold Storage #73,Purba Bardhaman,Burdwan,23.2474,87.8404,122483,56,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-082,Burdwan Cold Storage #74,Purba Bardhaman,Burdwan,23.2384,87.8732,122411,68,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-083,Burdwan Cold Storage #75,Purba Bardhaman,Burdwan,23.266,87.8528,121632,45,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-084,Burdwan Cold Storage #76,Purba Bardhaman,Burdwan,23.175,87.8801,121904,57,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-085,Burdwan Cold Storage #77,Purba Bardhaman,Burdwan,23.2243,87.8749,121298,65,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-086,Burdwan Cold Storage #78,Purba Bardhaman,Burdwan,23.2029,87.822,122127,45,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-087,Asansol Cold Storage #79,Paschim Bardhaman,Asansol,23.6951,86.945,122545,45,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-088,Asansol Cold Storage #80,Paschim Bardhaman,Asansol,23.6808,86.9161,121430,81,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-089,Asansol Cold Storage #81,Paschim Bardhaman,Asansol,23.6214,86.9874,121955,90,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-090,Asansol Cold Storage #82,Paschim Bardhaman,Asansol,23.7035,87.012,121612,64,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-091,Asansol Cold Storage #83,Paschim Bardhaman,Asansol,23.6721,86.9357,122361,61,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-092,Asansol Cold Storage #84,Paschim Bardhaman,Asansol,23.6486,86.9664,121173,85,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-093,Asansol Cold Storage #85,Paschim Bardhaman,Asansol,23.657,86.9125,122240,51,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-094,Asansol Cold Storage #86,Paschim Bardhaman,Asansol,23.6189,86.9649,120935,81,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-095,Asansol Cold Storage #87,Paschim Bardhaman,Asansol,23.6313,86.9686,122034,83,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-096,Asansol Cold Storage #88,Paschim Bardhaman,Asansol,23.6296,86.9819,122021,59,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-097,Asansol Cold Storage #89,Paschim Bardhaman,Asansol,23.6876,86.9216,122485,63,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-098,Asansol Cold Storage #90,Paschim Bardhaman,Asansol,23.6811,86.9442,122433,51,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-099,Asansol Cold Storage #91,Paschim Bardhaman,Asansol,23.7216,86.9889,121757,60,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-100,Asansol Cold Storage #92,Paschim Bardhaman,Asansol,23.7039,86.9785,122615,48,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-101,Asansol Cold Storage #93,Paschim Bardhaman,Asansol,23.706,86.9734,122632,56,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-102,Asansol Cold Storage #94,Paschim Bardhaman,Asansol,23.6369,86.9271,122079,57,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-103,Asansol Cold Storage #95,Paschim Bardhaman,Asansol,23.6933,86.9895,122530,77,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-104,Asansol Cold Storage #96,Paschim Bardhaman,Asansol,23.6735,87.0109,122372,76,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-105,Asansol Cold Storage #97,Paschim Bardhaman,Asansol,23.7264,86.9532,121795,78,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-106,Asansol Cold Storage #98,Paschim Bardhaman,Asansol,23.7134,86.9124,122691,89,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-107,Asansol Cold Storage #99,Paschim Bardhaman,Asansol,23.7019,86.9345,122599,53,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-108,Asansol Cold Storage #100,Paschim Bardhaman,Asansol,23.7024,86.9053,122603,56,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-109,Asansol Cold Storage #101,Paschim Bardhaman,Asansol,23.7126,86.8966,121685,61,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-110,Asansol Cold Storage #102,Paschim Bardhaman,Asansol,23.688,86.9543,122488,86,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-111,Asansol Cold Storage #103,Paschim Bardhaman,Asansol,23.6273,86.9231,121002,64,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-112,Asansol Cold Storage #104,Paschim Bardhaman,Asansol,23.7094,86.9764,121659,65,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-113,Asansol Cold Storage #105,Paschim Bardhaman,Asansol,23.6233,86.9239,120970,79,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-114,Asansol Cold Storage #106,Paschim Bardhaman,Asansol,23.7258,86.8935,122790,52,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-115,Asansol Cold Storage #107,Paschim Bardhaman,Asansol,23.637,86.953,122080,67,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-116,Asansol Cold Storage #108,Paschim Bardhaman,Asansol,23.6836,86.9668,122453,76,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-117,Asansol Cold Storage #109,Paschim Bardhaman,Asansol,23.6164,86.9796,121915,76,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-118,Asansol Cold Storage #110,Paschim Bardhaman,Asansol,23.7214,86.9368,122755,46,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-119,Asansol Cold Storage #111,Paschim Bardhaman,Asansol,23.6944,86.9273,122539,59,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-120,Asansol Cold Storage #112,Paschim Bardhaman,Asansol,23.636,86.9749,121072,80,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-121,Asansol Cold Storage #113,Paschim Bardhaman,Asansol,23.6556,86.9062,121229,82,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-122,Asansol Cold Storage #114,Paschim Bardhaman,Asansol,23.6123,86.9352,120882,72,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-123,Asansol Cold Storage #115,Paschim Bardhaman,Asansol,23.6591,86.9139,121257,82,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-124,Asansol Cold Storage #116,Paschim Bardhaman,Asansol,23.6819,86.965,122439,79,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-125,Asansol Cold Storage #117,Paschim Bardhaman,Asansol,23.7189,86.9258,122735,45,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-126,Asansol Cold Storage #118,Paschim Bardhaman,Asansol,23.6954,86.9865,122547,69,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-127,Asansol Cold Storage #119,Paschim Bardhaman,Asansol,23.653,86.9887,121208,62,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-128,Asansol Cold Storage #120,Paschim Bardhaman,Asansol,23.6468,86.984,122158,50,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-129,Asansol Cold Storage #121,Paschim Bardhaman,Asansol,23.7,86.9999,121584,77,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-130,Asansol Cold Storage #122,Paschim Bardhaman,Asansol,23.6369,86.9595,121079,72,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-131,Asansol Cold Storage #123,Paschim Bardhaman,Asansol,23.6193,86.9746,120938,68,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-132,Asansol Cold Storage #124,Paschim Bardhaman,Asansol,23.7175,86.9663,122724,53,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-133,Asansol Cold Storage #125,Paschim Bardhaman,Asansol,23.6954,86.9944,122547,59,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-134,Asansol Cold Storage #126,Paschim Bardhaman,Asansol,23.6894,86.9931,122499,64,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-135,Asansol Cold Storage #127,Paschim Bardhaman,Asansol,23.6381,86.9679,122089,76,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-136,Asansol Cold Storage #128,Paschim Bardhaman,Asansol,23.649,86.9895,121176,75,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-137,Asansol Cold Storage #129,Paschim Bardhaman,Asansol,23.7249,86.9239,121783,62,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-138,Asansol Cold Storage #130,Paschim Bardhaman,Asansol,23.6341,86.9412,122057,82,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-139,Chinsurah Cold Storage #131,Hooghly,Chinsurah,22.9416,88.4535,121677,71,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-140,Chinsurah Cold Storage #132,Hooghly,Chinsurah,22.9402,88.4326,122666,75,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-141,Chinsurah Cold Storage #133,Hooghly,Chinsurah,22.8984,88.443,121331,53,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-142,Chinsurah Cold Storage #134,Hooghly,Chinsurah,22.8556,88.3884,121989,54,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-143,Chinsurah Cold Storage #135,Hooghly,Chinsurah,22.893,88.3983,121288,58,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-144,Chinsurah Cold Storage #136,Hooghly,Chinsurah,22.8599,88.4169,122023,58,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-145,Chinsurah Cold Storage #137,Hooghly,Chinsurah,22.9605,88.4073,122828,65,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-146,Chinsurah Cold Storage #138,Hooghly,Chinsurah,22.8509,88.3523,121951,48,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-147,Chinsurah Cold Storage #139,Hooghly,Chinsurah,22.8879,88.3548,122247,71,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-148,Chinsurah Cold Storage #140,Hooghly,Chinsurah,22.901,88.3796,122352,56,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-149,Chinsurah Cold Storage #141,Hooghly,Chinsurah,22.9277,88.3515,121566,79,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-150,Chinsurah Cold Storage #142,Hooghly,Chinsurah,22.8464,88.4066,121915,78,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-151,Chinsurah Cold Storage #143,Hooghly,Chinsurah,22.8919,88.3453,121279,82,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-152,Chinsurah Cold Storage #144,Hooghly,Chinsurah,22.8615,88.3589,122036,79,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-153,Chinsurah Cold Storage #145,Hooghly,Chinsurah,22.884,88.4615,121216,47,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-154,Chinsurah Cold Storage #146,Hooghly,Chinsurah,22.8969,88.449,122319,65,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-155,Chinsurah Cold Storage #147,Hooghly,Chinsurah,22.9138,88.4503,121454,52,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-156,Chinsurah Cold Storage #148,Hooghly,Chinsurah,22.9501,88.4501,121745,54,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-157,Chinsurah Cold Storage #149,Hooghly,Chinsurah,22.8954,88.3884,122307,61,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-158,Chinsurah Cold Storage #150,Hooghly,Chinsurah,22.9134,88.3604,122451,81,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-159,Chinsurah Cold Storage #151,Hooghly,Chinsurah,22.9141,88.37,121457,62,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-160,Chinsurah Cold Storage #152,Hooghly,Chinsurah,22.928,88.3493,121568,68,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-161,Chinsurah Cold Storage #153,Hooghly,Chinsurah,22.9329,88.3533,122607,67,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-162,Chinsurah Cold Storage #154,Hooghly,Chinsurah,22.9274,88.3446,121563,68,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-163,Chinsurah Cold Storage #155,Hooghly,Chinsurah,22.9222,88.4466,121522,79,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-164,Chinsurah Cold Storage #156,Hooghly,Chinsurah,22.9392,88.3792,121658,70,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-165,Chinsurah Cold Storage #157,Hooghly,Chinsurah,22.9157,88.3588,121470,51,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-166,Chinsurah Cold Storage #158,Hooghly,Chinsurah,22.9354,88.4179,121627,88,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-167,Chinsurah Cold Storage #159,Hooghly,Chinsurah,22.9174,88.3861,121483,70,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-168,Chinsurah Cold Storage #160,Hooghly,Chinsurah,22.8939,88.377,121295,84,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-169,Chinsurah Cold Storage #161,Hooghly,Chinsurah,22.8551,88.409,120985,68,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-170,Chinsurah Cold Storage #162,Hooghly,Chinsurah,22.8559,88.3998,120991,59,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-171,Chinsurah Cold Storage #163,Hooghly,Chinsurah,22.9364,88.352,121635,65,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-172,Chinsurah Cold Storage #164,Hooghly,Chinsurah,22.8921,88.4444,121281,84,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-173,Chinsurah Cold Storage #165,Hooghly,Chinsurah,22.936,88.3566,121632,83,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-174,Chinsurah Cold Storage #166,Hooghly,Chinsurah,22.871,88.4283,121112,46,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-175,Chinsurah Cold Storage #167,Hooghly,Chinsurah,22.8513,88.3593,121954,68,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-176,Chinsurah Cold Storage #168,Hooghly,Chinsurah,22.867,88.396,122080,73,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-177,Chinsurah Cold Storage #169,Hooghly,Chinsurah,22.859,88.4263,122016,57,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-178,Chinsurah Cold Storage #170,Hooghly,Chinsurah,22.9356,88.4323,121629,89,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-179,Chinsurah Cold Storage #171,Hooghly,Chinsurah,22.8935,88.4285,121292,46,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
CS-180,Chinsurah Cold Storage #172,Hooghly,Chinsurah,22.8462,88.427,120914,48,,data.gov.in — State/UT cold storage distribution (Jan 2025),no
